Gene	Category	Number of Datasets Detected In	Percent of Datasets Detected in 	All Average TPM 	Tau	NZ Average TPM	NZ Minimum TPM	NZ Standard Deviation 	Highest Maximum TPM	Highest Dataset with Maximum TPM	Highest Median of that Dataset	Highest Difference Between Gene Maximum and Dataset Median
AT1G01010	Canonical	5665	99.86	12.5662	0.6156	12.5839	0.0162	17.2155	315.7775	SRR5826950	5.9741	309.8033
AT1G01020	Other	5669	99.93	13.7705	0.5233	13.7802	0.0574	9.5439	203.8469	SRR2828732	0.2315	203.6154
AT1G01030	Canonical	5500	96.95	4.7091	0.6867	4.8572	0.0206	5.3518	111.0907	SRR2850582	7.0684	104.0222
AT1G01040	Canonical	5673	100	15.8297	0.4535	15.8297	0.3572	10.3504	129.5016	ERR1698208	7.8572	121.6444
AT1G01050	Canonical	5673	100	69.2058	0.3352	69.2058	0.7849	31.1291	500.4623	DRR029380	6.4708	493.9915
AT1G01060	Canonical	5662	99.81	47.7535	0.6746	47.8463	0.0219	102.2139	2653.2137	DRR029380	6.4708	2646.743
AT1G01070	Canonical	5483	96.65	8.6955	0.6412	8.9969	0.0117	12.1032	160.3721	SRR2037360	6.1107	154.2614
AT1G01080	Canonical	5669	99.93	64.2558	0.3132	64.3011	0.1816	39.8376	267.5204	SRR4113360	5.3107	262.2098
AT1G01090	Canonical	5673	100	199.6643	0.3387	199.6643	0.4101	115.1728	2494.214	SRR2927333	3.323	2490.891
AT1G01100	Canonical	5673	100	460.2589	0.3523	460.2589	3.3331	444.2781	7890.0428	SRR1231507	0.7191	7889.3237
AT1G01110	Canonical	5641	99.44	5.6991	0.6475	5.7315	0.0167	6.326	92.8011	SRR5469591	2.1459	90.6553
AT1G01120	Canonical	5668	99.91	95.4205	0.4376	95.5047	0.0339	104.1377	1532.5063	SRR3290788	4.8136	1527.6926
AT1G01130	Canonical	5667	99.89	4.1579	0.6719	4.1623	0.0339	4.4298	77.0185	SRR2136682	7.9968	69.0217
AT1G01140	Canonical	5670	99.95	41.9948	0.493	42.017	0.0262	41.3153	707.4249	SRR1773585	6.5342	700.8907
AT1G01150	Other	3859	68.02	0.3483	0.9264	0.5121	0.0089	1.1994	14.8916	SRR3581698	10.3621	4.5295
AT1G01160	Canonical	5672	99.98	41.1221	0.3729	41.1294	0.5277	20.9446	318.7914	SRR1231506	1.6647	317.1267
AT1G01170	Canonical	5655	99.68	101.2583	0.3569	101.5806	0.1469	73.0845	793.0842	SRR5363479	0.9842	792.1
AT1G01180	Canonical	5641	99.44	17.6124	0.5406	17.7124	0.0163	15.9872	246.3378	SRR5167803	1.1211	245.2167
AT1G01190	Canonical	5402	95.22	9.4902	0.756	9.9663	0.0153	24.3617	398.4286	SRR1773563	9.9314	388.4971
AT1G01200	Canonical	5523	97.36	2.6353	0.6871	2.7069	0.0189	2.8443	29.5192	SRR2922629	22.2932	7.2261
AT1G01210	Canonical	5672	99.98	16.8307	0.4856	16.8337	0.0376	12.587	192.1555	SRR5227406	1.9665	190.189
AT1G01220	Canonical	5672	99.98	15.1984	0.3524	15.2011	0.2492	6.6033	61.7152	ERR1698209	6.5967	55.1185
AT1G01225	Canonical	5659	99.75	6.2045	0.5495	6.2199	0.0365	4.9246	51.1597	SRR2922671	6.7712	44.3885
AT1G01230	Unobserved	5672	99.98	32.0039	0.3176	32.0095	0.842	14.4028	144.6899	SRR3209573	3.0018	141.6881
AT1G01240	Unobserved	5673	100	29.0532	0.4884	29.0532	0.1118	25.8907	426.8254	SRR3581736	3.7344	423.091
AT1G01250	Other	5064	89.26	7.5899	0.7616	8.5026	0.0335	18.7271	498.8095	SRR5172165	2.1695	496.64
AT1G01260	Canonical	5673	100	18.9423	0.4145	18.9423	0.1768	11.4299	130.217	SRR1773568	8.999	121.218
AT1G01280	Canonical	815	14.37	3.0081	0.9834	20.9384	0.0126	111.6538	2180.7739	SRR3581857	6.9376	2173.8363
AT1G01290	Canonical	5670	99.95	14.0749	0.4128	14.0824	0.0552	6.4432	85.4504	ERR1698205	4.5515	80.8989
AT1G01300	Canonical	5673	100	97.3618	0.3976	97.3618	0.3933	78.1673	1307.4197	SRR3714286	3.9965	1303.4232
AT1G01305	Canonical	913	16.09	0.7456	0.9769	4.6327	0.0198	14.809	179.3724	SRR3581888	8.4986	170.8738
AT1G01310	Canonical	3580	63.11	4.5873	0.9536	7.2693	0.0127	74.9297	2053.9257	SRR3581850	0.9656	2052.9602
AT1G01320	Canonical	5673	100	86.9283	0.4138	86.9283	0.0074	69.7739	1085.5535	SRR2072718	1.0402	1084.5132
AT1G01335	Unobserved	64	1.13	0.016	0.9966	1.4223	0.1535	1.736	9.2174	SRR3724814	1.9	7.3174
AT1G01340	Canonical	5630	99.24	8.7002	0.7111	8.7666	0.0145	16.7818	297.5377	SRR1773563	9.9314	287.6063
AT1G01350	Canonical	5673	100	24.3529	0.3667	24.3529	0.7419	11.2948	139.8668	ERR1698205	4.5515	135.3154
AT1G01355	Unobserved	3858	68.01	0.6039	0.9113	0.8881	0.02	1.9805	33.6356	SRR5936241	8.3495	25.2861
AT1G01360	Canonical	5667	99.89	23.9315	0.4575	23.9568	0.1083	19.5846	254.2768	SRR1917193	7.5562	246.7206
AT1G01370	Canonical	5657	99.72	5.587	0.6523	5.6028	0.0171	8.622	65.265	ERR1588895	5.404	59.861
AT1G01380	Unobserved	5460	96.25	4.7503	0.7533	4.9356	0.0263	10.0698	168.2126	SRR3993762	9.5011	158.7115
AT1G01390	Canonical	5027	88.61	4.8945	0.7224	5.5234	0.012	7.9953	91.54	SRR3290779	4.4106	87.1294
