Dataset	Experiment Annotation	MS Runs	Spectra Searched	Spectra ID'd	%Spectra ID'd	Distinct Peptides	Unique Peptides	Added Peptides	Cumulative Peptides	Distinct Canonical Proteins	Unique All Proteins	Added Canonical Proteins	Cumulative Canonical Proteins
PXD000136	annot	142	139,495	18,082	12.96 %	3,316	11	3,316	3,316	375	1	375	375
PXD000546	annot	24	282,122	126,969	45.00 %	6,840	39	5,156	8,472	566	0	316	691
PXD000660	annot	4	97,171	8,460	8.71 %	2,442	119	2,094	10,566	287	0	203	894
PXD000869	annot	39	157,410	51,685	32.83 %	3,281	17	1,335	11,901	360	0	84	978
PXD000908	annot	191	2,164,046	359,466	16.61 %	12,343	154	8,542	20,443	1,268	12	766	1,744
PXD001207	annot	3	76,255	21,063	27.62 %	5,648	21	1,378	21,821	676	1	125	1,869
PXD001473	annot	30	161,368	10,693	6.63 %	480	34	371	22,192	49	0	49	1,918
PXD001719	annot	57	226,137	36,025	15.93 %	10,166	281	6,246	28,438	1,162	4	531	2,449
PXD001855	annot	18	311,188	29,980	9.63 %	11,099	6,285	9,090	37,528	1,029	29	382	2,831
PXD002069	annot	301	2,554,840	229,132	8.97 %	6,433	137	3,113	40,641	845	4	358	3,189
PXD002160	annot	30	571,411	67,006	11.73 %	2,691	38	323	40,964	268	5	10	3,199
PXD002186	annot	108	568,185	244,861	43.10 %	8,681	33	3,406	44,370	769	1	85	3,284
PXD003162	annot	56	1,135,690	247,256	21.77 %	11,321	226	2,769	47,139	857	4	78	3,362
PXD003516	annot	16	148,125	38,195	25.79 %	14,849	432	6,749	53,888	2,064	1	781	4,143
PXD003684	annot	143	401,356	114,273	28.47 %	7,004	29	1,898	55,786	718	3	60	4,203
PXD004025	annot	54	1,429,944	463,956	32.45 %	19,225	126	4,704	60,490	1,822	8	141	4,344
PXD004276	annot	136	318,036	62,409	19.62 %	12,727	530	4,758	65,248	1,136	1	203	4,547
PXD004599	annot	12	86,345	11,521	13.34 %	2,145	36	742	65,990	270	2	86	4,633
PXD004742	annot	36	358,493	110,661	30.87 %	5,596	4	159	66,149	625	3	5	4,638
