identifier	gene_name	chromosome	status	n_obs	molecular_weight	gravy	pI	description
AT1G01010.1	NAC1	1	canonical	4	49.42521720000007	-0.7314685314685315	5.101322364807127	NAC domain containing protein 1
AT1G01030.1	NGA3	1	canonical	12	40.28704110000006	-0.815921787709497	5.863362693786621	AP2/B3-like transcriptional factor family protein
AT1G01040.1	DCL1	1	canonical	40	213.57118299999945	-0.4161864850707173	5.877288246154785	dicer-like 1
AT1G01050.1	IPYR1	1	canonical	66	24.483777900000014	-0.4481132075471699	5.733030891418458	pyrophosphorylase 1
AT1G01060.1	LHY	1	canonical	17	70.43724230000039	-0.7455813953488362	5.765201759338378	Homeodomain-like superfamily protein
AT1G01070.1	WTR1	1	canonical	3	39.80947180000007	0.5391780821917812	9.107529258728025	nodulin MtN21 /EamA-like transporter family protein
AT1G01080.1	Q8W592	1	canonical	55	32.575343500000045	-0.4604095563139934	9.005991554260255	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G01090.1	ODPA3	1	canonical	109	47.173407400000066	-0.2693925233644862	7.160712623596192	pyruvate dehydrogenase E1 alpha
AT1G01100.1	RLA11	1	canonical	101	11.161547699999986	0.21428571428571416	4.301256752014161	60S acidic ribosomal protein family
AT1G01110.1	Q9MAM4	1	canonical	12	41.20610710000008	-1.0269230769230775	10.099439811706539	IQ-domain 18
AT1G01120.1	KCS1	1	canonical	27	59.275826600000016	-0.10719696969696954	8.902906608581542	3-ketoacyl-CoA synthase 1
AT1G01130.1	F4HQI8	1	canonical	3	14.046489899999992	-0.6846774193548394	4.776771736145019	CBL-interacting Serine/Threonine-kinase
AT1G01140.1	CIPK9	1	canonical	28	50.504214600000104	-0.45033557046979905	8.478253364562988	CBL-interacting protein kinase 9
AT1G01160.1	GIF2	1	canonical	10	21.038735599999946	-0.664615384615385	6.493422889709472	GRF1-interacting factor 2
AT1G01170.1	Q2HIQ2	1	canonical	24	9.062304999999999	-0.17590361445783131	9.69619007110596	ozone-responsive stress-like protein (DUF1138)
AT1G01180.1	F4HS78	1	canonical	10	34.702594300000015	-0.11661237785016274	9.313892555236816	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT1G01190.1	F4HS79	1	canonical	2	60.31418440000015	0.0037383177570093915	8.339517402648926	cytochrome P450%2C family 78%2C subfamily A%2C polypeptide 8
AT1G01200.1	RABA3	1	canonical	16	26.2493698	-0.250632911392405	5.521191978454589	RAB GTPase homolog A3
AT1G01210.1	Q9LNK0	1	canonical	6	12.273981599999992	-0.5669811320754716	8.10607738494873	DNA-directed RNA polymerase%2C subunit M%2C archaeal
AT1G01220.1	FKGP	1	canonical	59	116.35012970000089	-0.07620853080568742	5.874730491638183	L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225.1	Q29PY0	1	canonical	6	28.399693000000003	-0.09653846153846148	4.72192211151123	NC domain-containing protein-like protein
AT1G01260.1	BH013	1	canonical	24	66.00121190000019	-0.5920338983050843	6.279821968078613	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G01280.1	C70A2	1	canonical	11	57.85365890000014	-0.18470588235294153	8.632461738586429	cytochrome P450%2C family 703%2C subfamily A%2C polypeptide 2
AT1G01290.1	CNX3	1	canonical	14	29.512439200000014	-0.27037037037037087	8.219799613952638	cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300.1	APF2	1	canonical	74	52.174675200000074	-0.040412371134020936	9.216867637634277	Eukaryotic aspartyl protease family protein
AT1G01305.1	Q1G401	1	canonical	5	15.834651399999991	-0.11063829787234039	10.141988945007324	hypothetical protein
AT1G01310.1	Q6ID87	1	canonical	5	27.395560299999985	-0.5564315352697097	9.55500431060791	CAP (Cysteine-rich secretory proteins%2C Antigen 5%2C and Pathogenesis-related 1 protein) superfamily protein
AT1G01320.1	F4HS99	1	canonical	246	198.7719727	-0.5231496939343337	5.922247886657714	Tetratricopeptide repeat (TPR)-like superfamily protein
